#,Company,India location,Careers URL
1,Novartis,"Hyderabad, Bengaluru",Careers
2,AstraZeneca,"Bengaluru, Chennai",Careers
3,Pfizer,"Chennai, Mumbai, Bengaluru",Careers
4,Eli Lilly,"Bengaluru, Hyderabad",Careers
5,Roche,"Bengaluru, Mumbai",Careers
6,Merck / MSD,"Bengaluru, Mumbai",Careers
7,GSK,"Bengaluru, Mumbai",Careers
8,Sanofi,"Hyderabad, Bengaluru",Careers
9,Bristol Myers Squibb,"Hyderabad, Bengaluru",Careers
10,Amgen,Hyderabad,Careers
11,Takeda,"Bengaluru, Mumbai",Careers
12,Bayer,"Bengaluru, Mumbai",Careers
13,AbbVie,"Bengaluru, Mumbai",Careers
14,Boehringer Ingelheim,Hyderabad,Careers
15,Novo Nordisk,Bengaluru,Careers
16,Biogen,Bengaluru,Careers
17,Gilead Sciences,Bengaluru,Careers
18,Viatris,"Hyderabad, Bengaluru",Careers
19,Organon,"Bengaluru, Mumbai",Careers
20,Vertex Pharmaceuticals,Bengaluru,Careers
21,Regeneron,Bengaluru,Careers
22,Astellas Pharma,Bengaluru,Careers
23,Daiichi Sankyo,Bengaluru,Careers
24,Eisai,"Bengaluru, Mumbai",Careers
25,Otsuka Pharmaceutical,"Mumbai, Bengaluru",Careers
26,Merck KGaA,"Bengaluru, Mumbai",Careers
27,CSL,"Bengaluru, Mumbai",Careers
28,Baxter,"Bengaluru, Gurugram",Careers
29,Stryker,"Gurugram, Bengaluru",Careers
30,Medtronic,"Bengaluru, Hyderabad",Careers
31,Johnson & Johnson,"Mumbai, Bengaluru",Careers
32,Boston Scientific,"Bengaluru, Gurugram",Careers
33,Abbott,"Mumbai, Bengaluru",Careers
34,Alcon,"Bengaluru, Hyderabad",Careers
35,GE HealthCare,"Bengaluru, Hyderabad",Careers
36,Philips Healthcare,"Bengaluru, Pune",Careers
37,Siemens Healthineers,"Bengaluru, Pune",Careers
38,Thermo Fisher Scientific,"Bengaluru, Hyderabad",Careers
39,Danaher,"Bengaluru, Pune",Careers
40,Waters Corporation,"Bengaluru, Mumbai",Careers
41,Sun Pharma,"Mumbai, Gurugram, Hyderabad",Careers
42,Dr. Reddy's Laboratories,Hyderabad,Careers
43,Aurobindo Pharma,Hyderabad,Careers
44,Cipla,"Mumbai, Bengaluru, Goa",Careers
45,Lupin,"Mumbai, Pune, Bengaluru",Careers
46,Zydus Lifesciences,"Ahmedabad, Bengaluru",Careers
47,Torrent Pharma,"Ahmedabad, Bengaluru",Careers
48,Mankind Pharma,"Delhi NCR, Mumbai",Careers
49,Alkem Laboratories,"Mumbai, Bengaluru",Careers
50,Divi's Laboratories,Hyderabad,Careers
51,Glenmark Pharmaceuticals,"Mumbai, Bengaluru",Careers
52,Intas Pharmaceuticals,Ahmedabad,Careers
53,Ipca Laboratories,"Mumbai, Ratlam",Careers
54,Laurus Labs,Hyderabad,Careers
55,Natco Pharma,Hyderabad,Careers
56,Biocon,Bengaluru,Careers
57,Biocon Biologics,Bengaluru,Careers
58,Alembic Pharmaceuticals,Vadodara,Careers
59,Ajanta Pharma,Mumbai,Careers
60,Gland Pharma,Hyderabad,Careers
61,Hetero,Hyderabad,Careers
62,MSN Laboratories,Hyderabad,Careers
63,Granules India,Hyderabad,Careers
64,Shilpa Medicare,"Bengaluru, Hyderabad",Careers
65,Bharat Biotech,Hyderabad,Careers
66,Biological E,Hyderabad,Careers
67,Indian Immunologicals,Hyderabad,Careers
68,Serum Institute of India,Pune,Careers
69,Syngene International,"Bengaluru, Hyderabad",Careers
70,Sai Life Sciences,"Hyderabad, Bengaluru",Careers
71,Aragen Life Sciences,Hyderabad,Careers
72,Neuland Laboratories,Hyderabad,Careers
73,SMS Pharmaceuticals,Hyderabad,Careers
74,Vimta Labs,Hyderabad,Careers
75,Aurigene Pharmaceutical Services,Hyderabad,Careers
76,Piramal Pharma,"Mumbai, Ahmedabad",Careers
77,Jubilant Pharmova,"Noida, Bengaluru",Careers
78,Strides Pharma Science,Bengaluru,Careers
79,Wockhardt,"Mumbai, Aurangabad",Careers
80,Emcure Pharmaceuticals,"Pune, Mumbai",Careers
81,Macleods Pharmaceuticals,Mumbai,Careers
82,Aristo Pharmaceuticals,Mumbai,Careers
83,Eris Lifesciences,Ahmedabad,Careers
84,Gufic Biosciences,Mumbai,Careers
85,FDC,"Mumbai, Goa",Careers
86,Marksans Pharma,Mumbai,Careers
87,Akums Drugs & Pharmaceuticals,"Haridwar, Delhi NCR",Careers
88,J B Chemicals & Pharmaceuticals,Mumbai,Careers
89,Gennova Biopharmaceuticals,Pune,Careers
90,Serum Institute Vaccines,Pune,Careers
91,Kaveri Seed / Life Sciences,Hyderabad,Careers
92,Sri Krishna Pharmaceuticals,Hyderabad,Careers
93,Aizant Drug Research Solutions,Hyderabad,Careers
94,Virchow Laboratories,Hyderabad,Careers
95,SMS Lifesciences India,Hyderabad,Careers
96,Hikal,"Bengaluru, Mumbai, Pune",Careers
97,Dishman Carbogen Amcis,Ahmedabad,Careers
98,Solara Active Pharma Sciences,"Bengaluru, Chennai",Careers
99,Lasa Supergenerics,Mumbai,Careers
100,Aarti Drugs,"Mumbai, Vapi",Careers
